time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2015-11-17 08:02:01.474 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , ,2,4,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,20832528,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:03:01.487 UTC, ,589,3162077,928,15648,112, ,4, ,45, , , , , , , , , ,4,4, , , , ,2,6, ,27, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , ,1, ,2, , , ,3,1, , , , , , , , , , , ,4096,2,427,1, , , , , , , , ,22134032,-1, , , , , , ,59, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1, , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:04:01.493 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22134032,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:05:01.521 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22784144,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:06:01.543 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22784144,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:07:01.569 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22784144,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:08:01.579 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22784144,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:09:01.588 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22784144,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:10:01.596 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23434280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:11:01.606 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23434280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:12:01.613 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23434280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:13:01.621 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23434280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:14:01.629 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,23434280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:15:01.953 UTC, ,589,3162077,928,15648,112, ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,24084424,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:15:06.265 UTC, ,589,3161965,928,15648, , ,4, , , , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447747319887,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,24734536,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:15:12.307 UTC, ,125,3157861,928,12008, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,21370016,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:16:12.321 UTC, ,125,3160637,928,14672,112, ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,22020352,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:17:12.331 UTC, ,125,3160637,928,14672,112, ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22020352,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:18:12.353 UTC, ,125,3160637,928,14672,112, ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22670464,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:19:12.375 UTC, ,125,3160637,928,14672,112, ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22670464,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:20:12.384 UTC, ,125,3160637,928,14672,112, ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22670464,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:21:09.212 UTC, ,125,3160525,928,14672, , ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748110678,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22670464,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:21:14.274 UTC, ,125,3157861,928,12008, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748472690,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,21880976,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:22:14.298 UTC, ,125,3160637,928,14672,112, ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748472690,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21880976,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:22:25.351 UTC, ,125,3160525,928,14672, , ,4, , , , , , , , , , , ,4,4, , , ,3,2,6, , , , , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748472690,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22531088,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:22:38.002 UTC, ,125,3157861,928,12008, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748556306,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,21359488,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-11-17 08:22:55.443 UTC, ,125,3160525,928,14672, , ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,2302,2, ,1491, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1447748556306,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,22009600,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
